lake,OBJECTID,Elevation_ft,Depth_ft,Volume_m3,SA_m2,CumVol_m3,CumPcntTotalVol,CumSA_ac,CumPcntTotalSA,Volume_ac_ft,SA_ac
Pleasant,45,978.1732146,3.500013667,4059.177799,5076.981097,13774.32386,99.48271069,5.788819165,95.61092498,3.29083227,1.254547414
Pleasant,44,977.6731989,4.000029383,5397.873312,5714.627961,19172.19717,99.27999568,7.200932307,94.54026267,4.376131464,1.412113142
Pleasant,43,977.1731832,4.500045098,7532.1551,6742.910965,26704.35227,98.99712856,8.867139321,93.27694672,6.10642359,1.666207014
Pleasant,42,976.6732676,4.99996069,10340.10551,8198.466974,37044.45778,98.60880996,10.8930215,91.74092554,8.382868297,2.025882182
Pleasant,41,976.1732519,5.499976405,14936.55362,10609.31762,51981.0114,98.04787357,13.51463693,89.75322019,12.10927313,2.621615431
Pleasant,40,975.6732362,5.999992121,20001.20019,12830.3292,71982.21159,97.29673637,16.68507543,87.34939793,16.21525301,3.170438498
Pleasant,39,975.1732205,6.500007836,24309.51433,13367.98637,96291.72592,96.38380212,19.9883717,84.84484307,19.7080636,3.303296272
Pleasant,38,974.6732047,7.000023551,25294.3437,12298.52892,121586.0696,95.433883,23.02739969,82.54065608,20.50647856,3.039027988
Pleasant,37,974.173189,7.500039267,25195.14504,11063.1898,146781.2147,94.48768924,25.76116921,80.46791566,20.42605682,2.733769516
Pleasant,36,973.6732734,7.999954859,24197.99449,9708.342088,170979.2092,93.57894308,28.16014908,78.6490123,19.61765291,2.398979872
Pleasant,35,973.1732577,8.499970574,22795.5311,8553.594351,193774.7403,92.72286588,30.27378501,77.04645634,18.4806562,2.113635932
Pleasant,34,972.673242,8.99998629,22124.06704,7859.979114,215898.8073,91.89200525,32.21602515,75.57385244,17.93629088,1.942240139
Pleasant,33,972.1732263,9.500002005,21982.28715,7430.084543,237881.0944,91.0664691,34.05203619,74.1817913,17.82134794,1.836011041
Pleasant,32,971.6732106,10.00001772,21463.27436,6892.913922,259344.3688,90.26042428,35.75530969,72.89037159,17.40057701,1.703273495
Pleasant,31,971.1731949,10.50003344,20682.45804,6330.278891,280026.8268,89.48370271,37.31955325,71.7043642,16.76755828,1.564243565
Pleasant,30,970.6731791,11.00004915,19638.40037,5818.573265,299665.2272,88.74619031,38.7573518,70.61422724,15.92112612,1.437798547
Pleasant,29,970.1732636,11.49996474,19129.80839,5458.251408,318795.0356,88.02777788,40.10611301,69.59159828,15.50880348,1.348761214
Pleasant,28,969.6732478,11.99998046,18987.34956,5223.452589,337782.3852,87.31471544,41.39685426,68.61295997,15.39331011,1.290741252
Pleasant,27,969.1732321,12.49999617,18930.60736,5035.329895,356712.9925,86.60378393,42.64110946,67.66956733,15.34730842,1.244255194
Pleasant,26,968.6732164,13.00001189,18741.44491,4842.067812,375454.4374,85.89995634,43.83760863,66.76238325,15.19395176,1.196499167
Pleasant,25,968.1732007,13.5000276,18900.32041,4751.813596,394354.7578,85.19016225,45.01180552,65.87210872,15.32275436,1.174196899
Pleasant,24,967.673185,14.00004332,19610.33778,4804.763466,413965.0956,84.45370373,46.1990866,64.97191378,15.89837539,1.187281076
Pleasant,23,967.1732694,14.49995891,19822.96689,4717.246025,433788.0625,83.70926001,47.36474168,64.08811565,16.07075678,1.165655079
Pleasant,22,966.6732537,14.99997463,20501.12031,4752.201886,454289.1828,82.9393485,48.53903453,63.19776837,16.62054525,1.174292847
Pleasant,21,966.173238,15.49999034,20773.85339,4695.31026,475063.0362,82.15919461,49.69926917,62.31808,16.84165378,1.160234642
Pleasant,20,965.6732222,16.00000606,21122.10521,4640.728145,496185.1414,81.36596226,50.8460163,61.44861785,17.1239864,1.146747128
Pleasant,19,965.1732065,16.50002177,22104.06889,4731.397551,518289.2103,80.53585265,52.01516829,60.56216836,17.9200781,1.169151992
Pleasant,18,964.6731908,17.00003749,23503.82228,4901.328559,541793.0326,79.65317585,53.22631108,59.6438815,19.05487777,1.211142794
Pleasant,17,964.1731751,17.5000532,25417.69539,5162.110788,567210.728,78.6986243,54.50189447,58.67673586,20.6064815,1.275583386
Pleasant,16,963.6732595,17.9999688,28253.43047,5583.835019,595464.1585,77.63757784,55.88168802,57.63057822,22.90545163,1.379793552
Pleasant,15,963.1732438,18.49998451,32516.30837,6233.887118,627980.4668,76.41644068,57.4221127,56.46263027,26.36142642,1.540424676
Pleasant,14,962.6732281,19.00000023,38672.53912,7189.059941,666653.0059,74.96410869,59.19856535,55.11572622,31.35236888,1.776452657
Pleasant,13,962.1732124,19.50001594,36241.15498,6579.77073,702894.1609,73.60308637,60.8244596,53.88297536,29.38121172,1.625894246
Pleasant,12,961.6731966,20.00003166,40261.76595,7118.842732,743155.9269,72.09107159,62.58356123,52.54922683,32.64077732,1.759101633
Pleasant,11,961.1731809,20.50004737,44584.10256,7683.401547,787740.0294,70.41673317,64.48216817,51.10970557,36.14495612,1.898606939
Pleasant,10,960.6732653,20.99996296,51497.33256,8669.767953,839237.362,68.48277111,66.62451118,49.48538394,41.74960847,2.14234301
Pleasant,9,960.1732496,21.49997868,58565.2573,9661.19872,897802.6193,66.28337591,69.01184169,47.67531311,47.47967401,2.38733051
Pleasant,8,959.1732182,22.50001011,148209.9513,23683.48539,1046012.571,60.71740951,74.86414935,43.2381012,120.1558824,5.852307657
Pleasant,7,958.6732025,23.00002583,99565.18958,15379.48536,1145577.76,56.978278,78.66449708,40.35668259,80.71889311,3.80034773
Pleasant,6,958.1731868,23.50004154,128963.9974,19541.20967,1274541.758,52.13508582,83.4932277,36.69554544,104.5529182,4.828730617
Pleasant,5,957.6732712,23.99995713,155378.1364,23061.51943,1429919.894,46.29992105,89.19184446,32.37486177,125.9672305,5.698616759
Pleasant,4,957.1732555,24.49997285,538.5784494,73.1276223,1430458.472,46.27969495,89.20991466,32.36116096,0.436633089,0.018070201
Pleasant,3,956.6732397,24.99998856,689444.4999,98031.46025,2119902.972,20.38787804,113.4339786,13.99450776,558.9423083,24.22406398
Pleasant,2,956.173224,25.50000428,299641.2635,42481.15397,2419544.236,9.134968301,123.9312842,6.035464609,242.9233673,10.49730555
Pleasant,1,955.6732083,26.00001999,243244.9478,32214.11121,2662789.184,0,131.8915521,0,197.2020846,7.960267952
